Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Marked as,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Gene ID,# Razor Peptides,"Abundances (Normalized): F1: Sample, Flg22","Abundances (Normalized): F2: Sample, Flg22","Abundances (Normalized): F3: Sample, Flg22","Abundances (Normalized): F4: Sample, Flg22","Abundances (Normalized): F5: Sample, Mock","Abundances (Normalized): F6: Sample, Mock","Abundances (Normalized): F7: Sample, Mock","Abundances (Normalized): F8: Sample, Mock",Ratio log2(flg22/Mock),T-Test,,,,,,
High,IsMasterProtein,Q9SW96,"Asparagine--tRNA ligase, cytoplasmic 1 OS=Arabidopsis thaliana OX=3702 GN=SYNC1 PE=1 SV=1",0,Athaliana,92.397,36,20,100,15,572,63.7,5.58,171.51,20,A4FVR0; ath:AT5G56680; Q9SW96,2,61656269.39,77016928.13,84121477.16,56573761.92,32973715.22,46564209.46,37102826.05,28791585,0.941820956,0.005171529,,,,,,
High,IsMasterProtein,Q9LX49,Pirin-1 OS=Arabidopsis thaliana OX=3702 GN=PRN1 PE=1 SV=1,0,Athaliana,33.066,32,7,29,6,287,31.6,5.49,47.52,7,ath:AT3G59220; Q9LX49,0,2090368.089,2860391.745,1385584.323,3867690.256,9126916.664,12831880.19,11737235.95,12107052.69,-2.166305118,0.00140495,,,,,,
High,IsMasterProtein,O82392,"Phosphomethylpyrimidine synthase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=THIC PE=1 SV=1",0,Athaliana,116.524,44,20,60,20,644,71.9,6.44,114.6,20,ath:AT2G29630; O82392,0,7144816.594,3483577.763,6216202.924,7158611.885,38824136.62,23214354.07,66307739.85,18934998.39,-2.617274361,0.061843644,,,,,,
High,IsMasterProtein,Q9M5J9,Polygalacturonase inhibitor 1 OS=Arabidopsis thaliana OX=3702 GN=PGIP1 PE=1 SV=1,0,Athaliana,75.534,40,11,97,10,330,36.7,7.96,198.05,11,ath:AT5G06860; Q9M5J9,2,417597182.4,225791357.9,347351304.2,330902498.2,76973917.59,49657957.43,23368117.74,76980874.02,2.541689217,0.005331758,,,,,,
High,IsMasterProtein,Q8RUW5,Serine carboxypeptidase-like 8 OS=Arabidopsis thaliana OX=3702 GN=SCPL8 PE=1 SV=2,0,Athaliana,156.215,31,13,184,12,433,49.4,6.4,463.6,13,ath:AT2G22990; O64809; Q3EBV9; Q8RUW5; Q9ASY4,2,279025691.3,296582656.5,283011654.5,214866493.6,387569834.5,472129768.1,621903970.7,582892636.1,-0.943485727,0.029069228,,,,,,
High,IsMasterProtein,Q9SV91,At4g10300 OS=Arabidopsis thaliana OX=3702 GN=TRR14 PE=1 SV=1,0,Athaliana,67.356,61,11,114,11,134,14.9,8.68,183.19,11,ath:AT4G10300; Q9SV91,0,129916884.1,227209837.3,164672474.1,138418752.7,287251175.1,327803223.7,416525454.4,362421197.8,-1.078217385,0.01247582,,,,,,
High,IsMasterProtein,O04209,Clathrin light chain 2 OS=Arabidopsis thaliana OX=3702 GN=CLC2 PE=1 SV=1,0,Athaliana,13.323,16,4,17,4,258,28.8,4.98,25.34,4,ath:AT2G40060; O04209; Q8L9R8,0,1110269.247,1183613.84,1431210.055,586313.4878,2875417.83,2375903.605,4340189.089,3954794.281,-1.651668821,0.019333899,,,,,,
High,IsMasterProtein,Q9SU14,Nudix hydrolase 7 OS=Arabidopsis thaliana OX=3702 GN=NUDT7 PE=1 SV=1,0,Athaliana,79.163,41,12,107,12,282,31.9,5.44,187.43,12,ath:AT4G12720; Q8LEK5; Q9SU14,0,99755684.05,81717571.16,137277540.9,93028400.3,64161823.47,46941959.68,45447665.98,35436084.94,1.100858306,0.026145135,,,,,,
High,IsMasterProtein,Q9LI88,Ribosomal protein S21 family protein OS=Arabidopsis thaliana OX=3702 GN=GHS1 PE=1 SV=1,0,Athaliana,9.058,10,2,13,2,183,20.9,9.39,10.17,2,Q9LI88,0,,1925121.677,2767809.017,1881318.866,4852057.654,4507675.352,7121497.179,8827057.5,-1.529674274,0.067467038,,,,,,
High,IsMasterProtein,Q8L4Q6,Neurofilament light protein OS=Arabidopsis thaliana OX=3702 GN=At5g25070 PE=1 SV=1,0,Athaliana,6.266,3,2,3,2,736,82.1,4.7,1.8,2,ath:AT5G25070; Q8L4Q6,0,,5690.015969,8566.517348,26079.32077,140200.7884,577774.7629,663053.3876,170811.2813,-4.850735909,0.101579816,,,,,,
High,IsMasterProtein,Q56ZI2,Patellin-2 OS=Arabidopsis thaliana OX=3702 GN=PATL2 PE=1 SV=2,0,Athaliana,352.037,67,53,393,49,683,76,4.92,742.55,53,ath:AT1G22530; Q56ZI2; Q9SK94,4,384506622.7,284835379.4,279059611.1,263778168.6,506130689.2,451423229,681128702.8,496616734,-0.816834656,0.033052422,,,,,,
High,IsMasterProtein,F4HQ22,LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.4 OS=Arabidopsis thaliana OX=3702 GN=LRK10L-2.4 PE=3 SV=1,0,Athaliana,37,12,5,32,5,617,69.2,7.14,70.4,5,ath:AT1G66920; F4HQ22; Q9C621,0,66088984.46,46450501.03,59662026.74,62010548.28,6401798.772,2719936.166,5322454.223,12614168.5,3.113669187,0.00061995,,,,,,
High,IsMasterProtein,Q9S7I6,LRR receptor-like serine/threonine-protein kinase RPK2 OS=Arabidopsis thaliana OX=3702 GN=RPK2 PE=1 SV=1,0,Athaliana,64.466,15,12,36,12,1151,125.2,6.9,56.56,12,ath:AT3G02130; C0LGM5; Q8GYR1; Q9S7I6,0,2363396.038,3564351.956,5962505.242,4633598.277,18666731.61,9264785.321,33577627.13,22179139.28,-2.340475653,0.033183527,,,,,,
High,IsMasterProtein,F4JKH6,Protein REDUCED CHLOROPLAST COVERAGE 2 OS=Arabidopsis thaliana OX=3702 GN=REC2 PE=1 SV=1,0,Athaliana,59.526,9,12,35,12,1819,199,6.16,67.83,12,ath:AT4G28080; F4JKH6; Q9SUD1,0,4294835.135,2239022.139,1506543.213,3265410.518,15600501.11,14223590.41,16012360.54,16051954.5,-2.452604692,0.000354404,,,,,,
High,IsMasterProtein,A0A1P8BHI7,"Glucan endo-1,3-beta-glucosidase-like protein 3 OS=Arabidopsis thaliana OX=3702 GN=E13L3 PE=1 SV=1",0,Athaliana,34.095,24,4,21,4,213,22.1,7.15,40.52,4,A0A1P8BHI7,0,690303.0654,1348337.456,1838188.703,2561255.169,5849205.613,6046946.044,17609363.92,6853931.625,-2.497626872,0.073711338,,,,,,
High,IsMasterProtein,Q9S7C0,Heat shock 70 kDa protein 14 OS=Arabidopsis thaliana OX=3702 GN=HSP70-14 PE=1 SV=1,0,Athaliana,188.518,58,36,165,8,831,91.7,5.25,297.13,36,ath:AT1G79930; Q0WVB9; Q96269; Q9S7C0,25,73028341.26,66034080.03,66381546.1,38926856.06,169782072.8,177434006,159394630.4,155401610.3,-1.437786019,0.000345606,,,,,,
High,IsMasterProtein,P25696,Bifunctional enolase 2/transcriptional activator OS=Arabidopsis thaliana OX=3702 GN=ENO2 PE=1 SV=1,0,Athaliana,423.092,88,34,659,34,444,47.7,5.77,1644.81,34,ath:AT2G36530; P25696; Q8RWM8; Q8VYG4; Q940N0,0,1770401118,2032297560,1848010973,2222236899,1570896568,1436639770,1191996940,1219458890,0.538879122,0.033632563,,,,,,
High,IsMasterProtein,Q9LX99,Kinesin-like protein KIN-14A OS=Arabidopsis thaliana OX=3702 GN=KIN14A PE=1 SV=1,0,Athaliana,34.722,7,7,15,7,1273,140.9,6.19,30.82,7,ath:AT5G10470; B3H459; O23652; Q0WVP0; Q9LX99,0,766170.6231,1317291.899,755496.0991,281532.7761,6761447.893,3496682.114,5301388.489,2545474.5,-2.536542479,0.02739909,,,,,,
High,IsMasterProtein,Q9FYH8,F17F8.22 OS=Arabidopsis thaliana OX=3702 GN=At1g30910 PE=1 SV=1,0,Athaliana,63.554,42,13,79,13,318,35.2,6.92,128.18,13,ath:AT1G30910; Q9FYH8,0,13072545.45,22991015.91,20446224.75,15579694.68,30271609.95,32130385.69,47425657.03,37416098.16,-1.030345742,0.015712877,,,,,,
High,IsMasterProtein,Q9C8G5,CSC1-like protein ERD4 OS=Arabidopsis thaliana OX=3702 GN=ERD4 PE=1 SV=1,0,Athaliana,37.805,19,11,17,11,724,81.9,9.23,30.46,11,A0A097NUQ9; ath:AT1G30360; Q56WQ8; Q94B69; Q94II2; Q9C8G5,0,2743368.021,1879396.839,1477884.863,1532413.458,8656042.264,3605463.936,5299024.43,4620326,-1.538981046,0.025240461,,,,,,
High,IsMasterProtein,O22149,Probable pectinesterase/pectinesterase inhibitor 17 OS=Arabidopsis thaliana OX=3702 GN=PME17 PE=2 SV=2,0,Athaliana,126.238,42,18,107,18,511,55.9,9.04,213.56,18,ath:AT2G45220; O22149; Q570I2; Q9ASU4,0,147806473.7,327056368.7,528028270.6,104355881,22484664.41,8510351.659,1650883.52,16925073.69,4.481337685,0.07900047,,,,,,
High,IsMasterProtein,O22476,Protein BRASSINOSTEROID INSENSITIVE 1 OS=Arabidopsis thaliana OX=3702 GN=BRI1 PE=1 SV=1,0,Athaliana,26.476,8,9,11,9,1196,130.5,6.42,9.17,9,ath:AT4G39400; C0LGS4; O22476,0,1698767.417,4992400.826,2290020.879,1370146.099,12789283.05,17912721.35,6424056.941,26800209.47,-2.626592062,0.056791469,,,,,,
High,IsMasterProtein,Q3E8R5,Defensin-like protein 207 OS=Arabidopsis thaliana OX=3702 GN=At5g33355 PE=2 SV=1,0,Athaliana,13.009,25,2,15,2,80,8.4,6.46,18.8,2,ath:AT5G33355; Q3E8R5,0,140512.3431,197102.7565,347037.2653,346512.9339,16775992.4,92163230.05,185091965.3,6696507,-8.188038306,0.167168349,,,,,,
High,IsMasterProtein,Q8VXX3,HSP20-like chaperones superfamily protein OS=Arabidopsis thaliana OX=3702 GN=MZN1.18 PE=1 SV=1,0,Athaliana,14.062,26,3,14,3,158,18.2,6.19,14.3,3,ath:AT5G58740; Q8VXX3,0,560221.4303,1163699.225,1350878.702,561702.8582,3855944.268,3022571.266,3521109.009,4684635.875,-2.052420602,0.011898905,,,,,,
High,IsMasterProtein,Q8VY88,Protein LHCP TRANSLOCATION DEFECT OS=Arabidopsis thaliana OX=3702 GN=LTD PE=1 SV=1,0,Athaliana,39.032,54,7,21,7,175,19.2,6.19,56.3,7,ath:AT1G50900; Q8VY88; Q9C6J0,0,2026899.629,7386231.944,3781238.227,2862137.2,11376264.05,42791115.09,17543052.48,18322530.58,-2.48729521,0.04938904,,,,,,
High,IsMasterProtein,Q0PW40,Cysteine-rich receptor-like protein kinase 13 OS=Arabidopsis thaliana OX=3702 GN=CRK13 PE=2 SV=1,0,Athaliana,64.076,14,8,70,4,673,75.2,8.66,139.75,8,ath:AT4G23210; O65473; Q0PW40; Q8H0Y5; Q8H1R8,5,126194041.3,231709522.6,360245742.8,390806286.8,15945038.07,27351346.78,48049017.38,75912768.69,2.729053,0.017188909,,,,,,
High,IsMasterProtein,Q96511,Peroxidase 69 OS=Arabidopsis thaliana OX=3702 GN=PER69 PE=1 SV=1,0,Athaliana,56.24,44,15,38,15,331,35.7,9.29,58.05,15,ath:AT5G64100; Q8RWL8; Q96511,0,85191890.94,69151824.53,74177504.77,2745461.756,371598.9681,117249.2469,,147349.8281,8.090828287,0.17428442,,,,,,
High,IsMasterProtein,Q9MAB2,At3g05070 OS=Arabidopsis thaliana OX=3702 GN=At3g05070 PE=1 SV=1,0,Athaliana,4.529,12,2,7,2,144,16.4,4.93,0,2,A0A178VFF8; ath:AT3G05070; Q9MAB2,0,,895884.351,938764.7939,818699.0962,,1238583.975,1412216.253,1201695.75,-0.537979415,0.009225003,,,,,,
High,IsMasterProtein,A0A1P8AWZ7,Chitinase family protein OS=Arabidopsis thaliana OX=3702 GN=At1g02360 PE=1 SV=1,0,Athaliana,107.581,44,11,145,11,324,36.3,9.11,397.65,11,A0A1P8AWZ7,0,1029647114,1165182245,1782663213,2392636960,461210923.8,335842007.3,776395684.2,439684952.5,1.661879814,0.036468263,,,,,,
High,IsMasterProtein,Q39061,"RNA-binding protein CP33, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CP33 PE=2 SV=1",0,Athaliana,59.533,30,9,83,9,329,35.7,4.64,158.59,9,ath:AT3G52380; Q39061; Q39062; Q8W4N7,0,68631741.48,63879586.38,36801795.61,34382227.28,172990147.6,156275496,156851852,128041214.5,-1.592198471,0.000527842,,,,,,
High,IsMasterProtein,Q9ZVT6,BSD domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At1g03350 PE=1 SV=1,0,Athaliana,29.855,16,5,13,5,470,51.9,4.36,32.57,5,ath:AT1G03350; Q9ZVT6,0,406751.8489,912606.9661,709965.493,642541.2181,1238551.042,2727792.363,3601558.23,2251551.938,-1.877795345,0.024525494,,,,,,
High,IsMasterProtein,Q9FUJ2,Cytokinin dehydrogenase 4 OS=Arabidopsis thaliana OX=3702 GN=CKX4 PE=1 SV=2,0,Athaliana,95.026,36,16,99,16,524,58,6.27,163.73,16,ath:AT4G29740; Q9FUJ2; Q9SU77,0,88583864.93,75891247.3,109360785.1,109463623.5,39020916.38,16017231.57,30533069.89,16573861.29,1.907852491,0.005371145,,,,,,
High,IsMasterProtein,Q9ZQG9,"Glucan endo-1,3-beta-glucosidase 14 OS=Arabidopsis thaliana OX=3702 GN=At2g27500 PE=2 SV=2",0,Athaliana,44.441,29,8,38,8,392,44,6.65,60.55,8,ath:AT2G27500; Q2V449; Q3EBS8; Q8VWJ3; Q9ZQG9,0,31428798.59,22175905.43,34747521.9,35414885.22,9950057.152,9525522.666,13485675.02,18694175.38,1.260636072,0.003329244,,,,,,
High,IsMasterProtein,F4IL68,SH3 domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=TASH3 PE=1 SV=1,0,Athaliana,11.789,2,2,8,2,1198,130.3,5.69,7.77,2,ath:AT2G07360; F4IL68,0,318116.4116,,298450.9769,597488.1114,1764887.859,1279936.274,2017578.06,2724741.5,-2.266222374,0.012328248,,,,,,
High,IsMasterProtein,Q9CAT7,Nascent polypeptide-associated complex subunit beta OS=Arabidopsis thaliana OX=3702 GN=At1g73230 PE=2 SV=1,0,Athaliana,34.964,46,8,14,5,165,18,6.21,36.05,8,ath:AT1G73230; B9DI58; Q8LFH4; Q9CAT7,3,2002452.683,394747.6367,201560.6109,272858.451,16690947.97,15510229.84,8235378.324,11465135.06,-4.175845104,0.005132677,,,,,,
High,IsMasterProtein,O22126,Fasciclin-like arabinogalactan protein 8 OS=Arabidopsis thaliana OX=3702 GN=FLA8 PE=2 SV=1,0,Athaliana,254.175,49,24,576,19,420,43,5.68,1304.68,24,ath:AT2G45470; O22126; Q56ZW9; Q8L9B1; Q9FR46,4,3559580641,4117028105,6526556807,4602991504,1497202070,2063968913,2413963688,2592639404,1.134212729,0.01588066,,,,,,
High,IsMasterProtein,Q9ZTZ7,"K(+) efflux antiporter 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=KEA1 PE=1 SV=2",0,Athaliana,54.429,10,9,42,8,1193,128,5.34,93.42,9,ath:AT1G01790; Q9LQ76; Q9LQ77; Q9ZTZ7,1,4805703.907,8807995.169,4570972.517,5377509.446,9745775.637,15724669.07,19440850.91,22657951.38,-1.519893689,0.034990807,,,,,,
High,IsMasterProtein,Q9FHC1,PAR1 protein OS=Arabidopsis thaliana OX=3702 GN=At5g52390 PE=1 SV=1,0,Athaliana,32.188,29,4,10,4,195,21.1,5.1,21.75,4,ath:AT5G52390; Q9FHC1,0,,947194.8399,,716079.108,2372798.63,9828233.062,6006613.607,7538372,-2.952251565,0.082989109,,,,,,
High,IsMasterProtein,Q9M0F7,Extensin-like protein OS=Arabidopsis thaliana OX=3702 GN=At4g29240 PE=1 SV=1,0,Athaliana,57.6,37,11,30,10,415,44.2,7.52,69.99,11,Q9M0F7,1,5698132.316,4692503.896,2510939.001,7426160.992,16566338.63,10330813.56,24707608.32,20386174.31,-1.824365694,0.033397731,,,,,,
High,IsMasterProtein,Q9M0V6,"Ferredoxin--NADP reductase, root isozyme 1, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RFNR1 PE=2 SV=2",0,Athaliana,113.483,48,20,125,12,378,42.4,8.6,179.61,20,ath:AT4G05390; Q8L7D9; Q8LBD8; Q8VY95; Q9M0V6,6,44665609.16,75577696.39,78722498.43,85785000.31,30254634.09,25748051.49,27923053.3,36381880.84,1.242971898,0.019123964,,,,,,
High,IsMasterProtein,Q39034,Peroxidase 59 OS=Arabidopsis thaliana OX=3702 GN=PER59 PE=1 SV=2,0,Athaliana,103.33,56,17,157,16,328,35,7.77,290.58,17,ath:AT5G19890; Q39034,0,343384285.8,261178887.9,198629590.8,296628846.7,125758945.2,71636797.47,148703951.2,120687979.9,1.23643117,0.02370432,,,,,,
High,IsMasterProtein,O81644,Villin-2 OS=Arabidopsis thaliana OX=3702 GN=VLN2 PE=1 SV=2,0,Athaliana,253.022,54,41,209,34,976,107.8,5.29,415.98,41,ath:AT2G41740; O22946; O81644; Q0WV87; Q8RXZ3,7,74153680.99,74520976.56,51821824.19,41983432.09,141444115.2,106581484,152359767.6,118405983.2,-1.097289181,0.016568627,,,,,,
High,IsMasterProtein,Q9SII4,Arginine/serine-rich-like splicing factor OS=Arabidopsis thaliana OX=3702 GN=CGL20A PE=1 SV=1,0,Athaliana,24.427,13,2,11,2,140,16.2,4.89,37.1,2,ath:AT2G17240; Q9SII4,0,,280860.5818,54692.74484,73025.53741,740122.234,11478611.06,12732149.42,5569748.625,-5.807988922,0.046528946,,,,,,
High,IsMasterProtein,F4ICG2,"Glutamine-tRNA ligase, putative / glutaminyl-tRNA synthetase, putative / GlnRS OS=Arabidopsis thaliana OX=3702 GN=OVA9 PE=1 SV=1",0,Athaliana,20.519,8,7,10,7,800,92.1,6.44,10.16,7,F4ICG2,0,208667.562,299643.6891,,223294.0644,1927631.873,1500286.914,1659766.085,7325750.5,-3.669655565,0.218655082,,,,,,
High,IsMasterProtein,Q93V62,AT4g27450/F27G19_50 OS=Arabidopsis thaliana OX=3702 GN=At4g27450 PE=1 SV=1,0,Athaliana,29.917,26,4,20,4,250,27.6,5.86,36.76,4,ath:AT4G27450; Q93V62,0,9386249.601,7808601.895,8221906.914,5671184.481,17062767.21,13442723.4,12706619.28,11935386.47,-0.826940235,0.002856339,,,,,,
High,IsMasterProtein,C0LGN2,Probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840 OS=Arabidopsis thaliana OX=3702 GN=LRR-RLK PE=1 SV=1,0,Athaliana,12.503,4,3,6,3,1020,112.2,6.19,11.89,3,ath:AT3G14840; C0LGN2; Q94EW5; Q9LH71,0,518719.6177,748341.8684,759386.679,,3075110.761,1668794.681,1836179.279,4618563.969,-2.051261979,0.100457406,,,,,,
High,IsMasterProtein,Q9LUN3,Leucine-rich repeat (LRR) family protein OS=Arabidopsis thaliana OX=3702 GN=At3g17640 PE=1 SV=1,0,Athaliana,44.684,20,6,41,6,396,42.9,6.93,65.65,6,ath:AT3G17640; Q9LUN3,0,8202772.965,6979733.44,5075243.463,11809926.88,18872028.19,23506849.63,60112556.21,44354312.34,-2.195109735,0.062932984,,,,,,
High,IsMasterProtein,F4I8B9,"Putative WEB family protein At1g65010, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At1g65010 PE=1 SV=1",0,Athaliana,49.401,14,14,21,14,1345,152.6,4.94,34.27,14,ath:AT1G65010; F4I8B9; Q9XIP6,0,558980.8238,457035.97,351170.5431,608091.1549,7592074.862,3716779.502,4626777.434,1484906.281,-3.14066121,0.056356012,,,,,,
High,IsMasterProtein,O23252,Eukaryotic translation initiation factor 4E-1 OS=Arabidopsis thaliana OX=3702 GN=EIF4E1 PE=1 SV=1,0,Athaliana,38.097,50,7,20,7,235,26.5,5.12,49.51,7,ath:AT4G18040; O23252,0,1015872.392,1379103.562,742555.9512,637543.0688,2983015.059,2857751.504,2632415.273,2976082.016,-1.600677639,0.001661304,,,,,,
High,IsMasterProtein,Q9FNH6,NDR1/HIN1-like protein 3 OS=Arabidopsis thaliana OX=3702 GN=NHL3 PE=1 SV=1,0,Athaliana,29.735,26,6,32,6,231,25.9,9.2,71.18,6,ath:AT5G06320; B0ZVP9; Q94K35; Q9FNH6; Q9LKQ2,0,21558152.31,31468625.44,67786209.41,35395261.11,3462711.692,2907662.726,7666517.807,12499626.5,2.55741961,0.041836669,,,,,,
High,IsMasterProtein,F4HS99,Protein REDUCED CHLOROPLAST COVERAGE 1 OS=Arabidopsis thaliana OX=3702 GN=REC1 PE=1 SV=1,0,Athaliana,34.039,6,7,20,7,1797,198.7,6.33,44.35,7,ath:AT1G01320; F4HS99; Q8H2C0; Q9LNJ1,0,1018483.026,1931915.465,1613614.31,,3412924.778,4487293.79,5496190.841,7293831.25,-1.765538184,0.024703047,,,,,,
High,IsMasterProtein,Q9LHK1,"Nudix hydrolase 16, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=NUDT16 PE=2 SV=1",0,Athaliana,55.659,68,11,51,11,180,20.4,5.48,87.1,11,A8MR20; ath:AT3G12600; Q9LHK1,0,7383617.897,6325189.561,7070511.091,5510327.625,9054081.402,11275027.44,10859802.26,15028100.05,-0.813929239,0.057401145,,,,,,
High,IsMasterProtein,Q9SN46,Leucine-rich repeat extensin-like protein 5 OS=Arabidopsis thaliana OX=3702 GN=LRX5 PE=2 SV=2,0,Athaliana,10.753,4,3,3,2,857,90.8,6.71,6.32,3,ath:AT4G18670; Q9SN46,0,,356823.7626,318629.1502,414321.819,,926386.8897,,1100139.875,-1.479941785,0.05878669,,,,,,
High,IsMasterProtein,P42759,Dehydrin ERD10 OS=Arabidopsis thaliana OX=3702 GN=ERD10 PE=1 SV=1,0,Athaliana,128.142,64,15,110,13,260,29.5,5.17,247.75,15,ath:AT1G20450; P42759; Q8H7D3; Q94AF8; Q94KJ0,0,30530312.09,97444806.33,62411518.24,76552519.09,152467447.3,227756081.8,230435614.2,342324159,-1.835939995,0.013815314,,,,,,
High,IsMasterProtein,Q9T0A0,Long chain acyl-CoA synthetase 4 OS=Arabidopsis thaliana OX=3702 GN=LACS4 PE=2 SV=1,0,Athaliana,32.583,14,8,25,8,666,74.5,5.87,29.99,8,ath:AT4G23850; Q9T0A0,0,2135701.764,2901638.788,3151026.26,1650485.864,8272237.331,4355444.291,5711652.366,4634902.375,-1.223454913,0.046766324,,,,,,
High,IsMasterProtein,F4IPY2,"Cysteine--tRNA ligase, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=SYCO PE=2 SV=1",0,Athaliana,50.044,29,14,26,13,563,63.9,7.2,40.47,14,ath:AT2G31170; F4IPY2; O82267; Q0WLQ1; Q93VX6,1,12642921.36,27252646.16,19739931.18,12095989.11,37282563.67,85305428.58,154784079.6,117742761.6,-2.46159355,0.045960873,,,,,,
High,IsMasterProtein,Q67Z52,Tubulin-folding cofactor B OS=Arabidopsis thaliana OX=3702 GN=TFCB PE=1 SV=1,0,Athaliana,8.183,19,3,6,3,243,27.3,5.45,11.08,3,ath:AT3G10220; Q67XW4; Q67Z52; Q8L5R5; Q9SS34,0,,1157964.823,894286.0713,,1968626.358,4095429.908,3691456.18,3980447.75,-1.742678743,0.015571478,,,,,,
High,IsMasterProtein,F4IIH6,Thioredoxin superfamily protein OS=Arabidopsis thaliana OX=3702 GN=ATHM3 PE=1 SV=1,0,Athaliana,40.486,50,8,45,8,174,19.6,8.35,93.99,8,F4IIH6,0,17741011.78,22503867.41,14701050.94,13135477.57,44965233.35,34404139.44,24359592.43,32218288,-0.99771423,0.023462292,,,,,,
High,IsMasterProtein,Q8H166,Thiol protease aleurain OS=Arabidopsis thaliana OX=3702 GN=ALEU PE=1 SV=2,0,Athaliana,81.174,37,12,117,9,358,38.9,6.71,250.07,12,ath:AT5G60360; Q8H166; Q9LL83; Q9S9A9,2,207716509.7,260810304.9,245070541,247549497.9,422570118.8,315953682.7,316751285.6,327189053.7,-0.524413277,0.064718284,,,,,,
High,IsMasterProtein,Q940G5,glucose-6-phosphate 1-epimerase OS=Arabidopsis thaliana OX=3702 GN=At4g25900 PE=1 SV=1,0,Athaliana,215.701,56,19,229,19,318,36.2,9.66,542.94,19,ath:AT4G25900; Q940G5,0,1315607115,718349515,1008427345,520749950.2,310491046.6,189455640.5,78098702.94,236633905.8,2.128842561,0.027349745,,,,,,
High,IsMasterProtein,Q9LZU4,Cysteine-rich receptor-like protein kinase 4 OS=Arabidopsis thaliana OX=3702 GN=CRK4 PE=2 SV=1,0,Athaliana,33.008,11,7,34,5,676,75.9,8.5,58.94,7,ath:AT3G45860; Q9LZU4,2,15448141.12,37067826.28,45635108.08,43976633,3918226.812,8271040.518,11785627.75,10553837.81,2.041318545,0.014388387,,,,,,
High,IsMasterProtein,O81645,Villin-3 OS=Arabidopsis thaliana OX=3702 GN=VLN3 PE=1 SV=2,0,Athaliana,232.933,52,36,158,29,965,106.3,5.85,367.74,36,A0A1I9LLW4; ath:AT3G57410; C0Z212; O81645; Q9LEA4; Q9SCN1,0,28885864.42,42297989.41,35607269.43,18770938.51,72425148.53,133807173,66765096.36,63118595.31,-1.420558653,0.028817448,,,,,,
High,IsMasterProtein,Q9FWX5,At1g02460 OS=Arabidopsis thaliana OX=3702 GN=T14P4.18 PE=1 SV=1,0,Athaliana,69.627,30,12,50,12,491,53.4,6.47,110.06,12,ath:AT1G02460; Q9FWX5,0,29693763.09,37872390.77,27827823.42,56417748.29,8322520.674,9630655.575,9438918.218,22510415.06,1.605098952,0.005289454,,,,,,
High,IsMasterProtein,Q9LMK7,Ran-binding protein 1 homolog a OS=Arabidopsis thaliana OX=3702 GN=RANBP1A PE=1 SV=1,0,Athaliana,96.818,47,15,95,7,228,25.6,4.94,155.54,15,ath:AT1G07140; O04149; Q9LMK7; Q9XHS1,6,45727181.16,40662258.47,30759152.11,20526978.14,150886570.6,94657944.09,62018921.19,79217409.75,-1.49024377,0.02767678,,,,,,
High,IsMasterProtein,Q9C723,Glutamine-dependent NAD(+) synthetase OS=Arabidopsis thaliana OX=3702 GN=At1g55090 PE=2 SV=1,0,Athaliana,49.21,22,11,27,11,725,80.8,5.85,52.74,11,ath:AT1G55090; Q9C723,0,1219693.166,1171692.089,2532181.488,1022290.327,2867353.449,6461907.995,4283930.788,3404893.531,-1.51711208,0.048114918,,,,,,
High,IsMasterProtein,Q9FDW8,Cytochrome b5 isoform A OS=Arabidopsis thaliana OX=3702 GN=CB5-A PE=1 SV=1,0,Athaliana,44.141,58,5,41,5,135,15.2,4.68,74.48,5,ath:AT1G26340; Q9FDW8,0,5488989.287,7110995.758,4426515.892,5096088.754,10462150.83,9929038.177,8708890.265,16572121.5,-1.045796031,0.054463803,,,,,,
High,IsMasterProtein,Q8H185,Acireductone dioxygenase 4 OS=Arabidopsis thaliana OX=3702 GN=ARD4 PE=1 SV=1,0,Athaliana,36.607,54,8,40,7,187,22.4,5.62,66.25,8,ath:AT5G43850; Q8H185; Q8LCE2; Q9FG79,1,5542562.856,13342439.52,9741355.003,7785708.633,20092059.82,27390100.27,23422668.07,25093200.75,-1.398588183,0.000368019,,,,,,
High,IsMasterProtein,Q9SZD2,Glycine-rich protein OS=Arabidopsis thaliana OX=3702 GN=At4g29020 PE=1 SV=1,0.001,Athaliana,4.085,6,1,8,1,158,13.3,7.39,9.75,1,Q9SZD2,0,72284.36418,351524.3235,335776.471,220047.944,812919.5075,1017418.41,2176925.983,1694094,-2.540992139,0.025772338,,,,,,
